exercise_name,position_sl_stand,position_split_stand,position_dl_stand,position_quadruped,position_supine_lying,position_side_lying,muscle_quad,muscle_hamstring,muscle_glute_max,muscle_hip_flexors,muscle_glute_med_min,muscle_adductors,core_ipsi,core_contra,difficulty_level
Straight leg raise,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,3,1,1,FALSE,FALSE,1
Double leg glute bridging,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,3,4,0,1,1,FALSE,FALSE,2
Double leg hamstrings bridging,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,4,4,0,1,1,FALSE,FALSE,3
Single leg glute bridging,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,3,5,0,4,2,TRUE,TRUE,4
Single leg hamstrings bridging,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,5,4,0,4,2,TRUE,TRUE,5
Scissors,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,3,0,0,FALSE,FALSE,1
3-months supine hip lowering,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,5,1,1,FALSE,FALSE,2
Deadbug,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,1,4,1,3,FALSE,TRUE,3
Side lying Clamshell,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,2,0,4,0,FALSE,FALSE,1
Side plank on knees hip dip,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,4,0,4,0,TRUE,FALSE,2
Side plank on knees hold,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,4,0,5,1,TRUE,FALSE,3
Side plank Clamshell,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,4,0,5,1,TRUE,FALSE,4
Side plank hip abduction,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,4,0,5,1,TRUE,FALSE,5
Copenhagen adductor lv1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,3,FALSE,FALSE,1
Copenhagen adductor lv2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,2,0,2,5,TRUE,FALSE,7
Quadruped single limb movement,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,1,0,3,0,FALSE,TRUE,2
Quadruped donkey kick,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,3,3,0,4,0,FALSE,TRUE,3
Quadruped leg extension,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,2,3,0,4,0,FALSE,TRUE,4
Quadruped hip abduction,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,3,0,5,0,FALSE,TRUE,4
Birddog,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,2,3,0,5,0,FALSE,TRUE,5
DL squat,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,3,3,2,3,1,FALSE,FALSE,3
DL squat with band,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,3,4,2,4,1,FALSE,FALSE,4
DL squat with adductor squeeze,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,3,3,2,3,3,FALSE,FALSE,4
Hip hinge,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,4,2,2,2,FALSE,FALSE,5
Split leg squat,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,4,3,4,3,TRUE,TRUE,4
Backward Lunge,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,5,5,3,4,3,TRUE,TRUE,5
Step up,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,4,3,5,3,TRUE,TRUE,5
Side squat,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,4,3,5,3,TRUE,TRUE,6
Hip hikes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,2,5,2,TRUE,FALSE,5
RFESS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,5,3,5,3,TRUE,TRUE,7
SL half squat,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,5,3,4,3,TRUE,TRUE,8
SL RDL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,5,5,3,5,4,TRUE,TRUE,8
