exercise_id,related_exercise_name,progression_type
2,Single leg glute bridging,progression
3,Single leg hamstrings bridging,progression
6,3-months supine hip lowering,progression
7,Deadbug,progression
7,Scissors,regression
8,3-months supine hip lowering,regression
9,Side plank on knees hip dip,progression
10,Side plank on knees hold,progression
10,Side lying Clamshell,regression
11,Side plank Clamshell,progression
11,Side plank on knees hip dip,regression
12,Side plank Clamshell,regression
14,Copenhagen adductor lv2,progression
15,Copenhagen adductor lv1,regression
16,Quadruped donkey kick,progression
16,Quadruped hip abduction,progression
17,Quadruped leg extension,progression
17,Quadruped single limb movement,regression
18,Birddog,progression
18,Quadruped donkey kick,regression
19,Quadruped single limb movement,regression
20,Quadruped leg extension,regression
21,Split leg squat,progression
22,Split leg squat,progression
23,Split leg squat,progression
24,SL RDL,progression
25,Backward Lunge,progression
25,Quadruped hip abduction,regression
26,Step up,progression
26,Split leg squat,regression
27,SL half squat,progression
27,Hip hikes,regression
28,Side plank hip abduction,regression
29,Step up,progression
29,Side plank on knees hip dip,regression
30,SL half squat,progression
30,Split leg squat,regression
31,RFESS,regression
32,Birddog,regression
32,Hip hinge,regression
